Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Possui_suite
Conjunto Comercial/Sala;Centro;0;0;0;48;1400.0;729.0;157.0;2129.0;25705.0;Não
Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;312000.0;92000.0;;404000.0;;Não
Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800.0;592.0;162.0;1392.0;16866.0;Não
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;8528.0;102583.0;Sim
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;4450.0;53560.0;Não
Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;26616.0;323647.0;Sim
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;11411.0;137648.0;Sim
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;3530.0;42500.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1240.0;240.0;2140.0;25920.0;Não
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;1780.0;21407.0;Não
Casa;Maracanã;8;3;5;259;7000.0;;;;;Sim
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;4700.0;57611.0;Não
Apartamento;Catete;2;0;0;75;3350.0;455.0;;3805.0;;Não
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;2080.0;25104.0;Sim
Casa;Benfica;1;0;0;33;1200.0;;;;;Não
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;1700.0;20610.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;212;13000.0;4700.0;1350.0;17700.0;213750.0;Não
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490.0;450.0;525.0;940.0;11805.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445.0;791.0;1041.0;1236.0;15873.0;Não
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;;1250.0;;Não
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;1285.0;15444.0;Não
Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;4300.0;;;;;Não
Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800.0;;;;;Não
Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;1500.0;580.0;;2080.0;;Não
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;7280.0;87780.0;Não
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;6540.0;78850.0;Sim
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;2352.0;28328.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1300.0;935.0;217.0;2235.0;27037.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800.0;550.0;;1350.0;;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1600.0;1100.0;350.0;2700.0;32750.0;Não
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;4384.0;52932.0;Sim
Terreno Padrão;Barra da Tijuca;0;0;0;1110;140000.0;;;;;Não
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;;10000.0;;Sim
Conjunto Comercial/Sala;Centro;0;0;0;154;3900.0;5100.0;559.0;9000.0;108559.0;Não
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;8000.0;96420.0;Sim
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;2166.0;26098.0;Não
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;6800.0;81820.0;Sim
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;8200.0;99200.0;Sim
Apartamento;Rocha Miranda;2;1;0;50;1100.0;;;;;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;2040.0;24592.0;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;1200.0;588.0;;1788.0;;Não
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500.0;600.0;85.0;1100.0;13285.0;Não
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;13689.0;164661.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;2000.0;1064.0;;3064.0;;Não
Loja/Salão;Barra da Tijuca;0;1;0;120;4000.0;1400.0;1500.0;5400.0;66300.0;Não
Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;44700.0;537900.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;35;1000.0;322.0;33.0;1322.0;15897.0;Não
Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000.0;690.0;58.0;1690.0;20338.0;Não
